App,Installs,Rating,Reviews,Price,Size,Genres,Category,Content Rating,Last Updated,Current Ver,Android Ver,Type,Date,Month
Lightning Link Casino: Best Vegas Casino Slots!,"1,000,000+",4.2,31975.0,0.0,162M,Casino,GAME_CASINO,Teen,2018-08-31,5.16.0,5.1 and up,Free,2018-08-31,8.0
Harry Potter: Puzzles & Spells - Match-3 Magic,"10,000,000+",4.7,143095.0,0.0,131M,Puzzle,GAME_PUZZLE,Everyone,2020-09-22,28.1.671,5.0 and up,Free,2020-09-22,9.0
The Grand Mafia,"5,000,000+",4.2,19808.0,0.0,88M,Strategy,GAME_STRATEGY,Mature 17+,2020-08-06,0.9.507,4.1 and up,Free,2020-08-06,8.0
Slots: Heart of Vegas™ – Free Casino Slots Games,"10,000,000+",4.3,105327.0,0.0,134M,Casino,GAME_CASINO,Teen,2015-07-20,4.30.5,5.0 and up,Free,2015-07-20,7.0
Golf Rival,"10,000,000+",4.3,118551.0,0.0,91M,Sports,GAME_SPORTS,Everyone,2018-03-27,2.41.1,4.1 and up,Free,2018-03-27,3.0
West Game,"10,000,000+",4.0,47473.0,0.0,146M,Strategy,GAME_STRATEGY,Teen,2019-03-14,3.3.1,4.1 and up,Free,2019-03-14,3.0
Big Fish Casino - Play Slots and Casino Games,"10,000,000+",4.5,114842.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2011-08-04,12.9.4,4.1 and up,Free,2011-08-04,8.0
Caesars Casino: Casino & Slots For Free,"10,000,000+",4.3,167633.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2013-08-26,4.10,Varies with device,Free,2013-08-26,8.0
June's Journey - Hidden Objects,"10,000,000+",4.4,262074.0,0.0,Varies with device,Adventure,GAME_ADVENTURE,Teen,2017-10-03,2.29.3,4.4 and up,Free,2017-10-03,10.0
Billionaire Casino Slots - The Best Slot Machines,"10,000,000+",4.4,88113.0,0.0,101M,Casino,GAME_CASINO,Teen,2016-10-19,6.4.3006,4.1 and up,Free,2016-10-19,10.0
